Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,eFG%,FT%,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster_K13,Archetype_Name
Precious Achiuwa,C,23.0,TOR,55.0,12.0,20.7,0.485,0.269,0.564,0.521,0.702,6.2608695652173925,12.695652173913043,0.8695652173913043,3.4782608695652173,5.217391304347826,9.39130434782609,2.7826086956521743,4.0,3.1304347826086962,7.130434782608695,10.434782608695652,1.5652173913043481,1.0434782608695652,0.8695652173913043,1.9130434782608698,3.3043478260869565,16.0,1,Scoring mobile centers
Steven Adams,C,29.0,MEM,42.0,42.0,27.0,0.597,0.0,0.599,0.597,0.364,4.933333333333334,8.4,0.0,0.0,4.933333333333334,8.266666666666666,1.4666666666666668,4.133333333333333,6.8,8.666666666666666,15.333333333333334,3.0666666666666664,1.2,1.4666666666666668,2.533333333333333,3.0666666666666664,11.466666666666665,8,Efficient rebounding paint protectors
Bam Adebayo,C,25.0,MIA,75.0,75.0,34.6,0.54,0.083,0.545,0.541,0.806,8.323699421965317,15.502890173410403,0.0,0.20809248554913293,8.323699421965317,15.294797687861271,4.473988439306358,5.61849710982659,2.6011560693641615,6.971098265895954,9.572254335260116,3.329479768786127,1.2485549132947975,0.8323699421965317,2.6011560693641615,2.9132947976878607,21.225433526011557,1,Scoring mobile centers
Ochai Agbaji,SG,22.0,UTA,59.0,22.0,20.5,0.427,0.355,0.532,0.532,0.812,4.917073170731706,11.414634146341463,2.458536585365853,6.848780487804878,2.458536585365853,4.741463414634147,1.5804878048780489,2.107317073170732,1.2292682926829266,2.282926829268293,3.6878048780487807,1.931707317073171,0.526829268292683,0.526829268292683,1.2292682926829266,2.9853658536585366,13.873170731707317,6,Midcourt 3&D reserves
Santi Aldama,PF,22.0,MEM,77.0,20.0,21.8,0.47,0.353,0.591,0.56,0.75,5.284403669724771,11.229357798165136,1.9816513761467889,5.779816513761467,3.3027522935779814,5.614678899082568,2.3119266055045866,3.1376146788990824,1.8165137614678901,6.110091743119266,7.9266055045871555,2.146788990825688,0.9908256880733944,0.9908256880733944,1.3211009174311927,3.1376146788990824,14.862385321100916,4,Mid-size defensive forwards
Nickeil Alexander-Walker,SG,24.0,TOT,59.0,3.0,15.0,0.444,0.384,0.515,0.547,0.667,5.28,12.0,2.4,6.48,2.88,5.52,1.6799999999999997,2.4,0.72,3.6,4.08,4.32,1.2,0.9600000000000001,2.16,3.6,14.879999999999999,3,Veteran pure guards
Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,0.488,0.402,0.578,0.591,0.692,5.63265306122449,11.510204081632654,2.4489795918367347,5.877551020408164,3.183673469387755,5.63265306122449,1.959183673469388,2.6938775510204085,0.489795918367347,3.4285714285714284,3.918367346938776,5.142857142857143,1.7142857142857142,0.979591836734694,3.183673469387755,3.918367346938776,15.42857142857143,11,Low-volume defensive playmakers
Nickeil Alexander-Walker,SG,24.0,MIN,23.0,0.0,15.5,0.384,0.361,0.415,0.488,0.619,4.87741935483871,12.541935483870969,2.554838709677419,7.2,2.32258064516129,5.341935483870968,1.3935483870967742,2.0903225806451613,0.6967741935483871,3.4838709677419355,4.180645161290323,3.2516129032258063,0.6967741935483871,0.6967741935483871,0.9290322580645162,3.0193548387096776,13.703225806451615,6,Midcourt 3&D reserves
Grayson Allen,SG,27.0,MIL,72.0,70.0,27.4,0.44,0.399,0.518,0.571,0.905,4.467153284671533,10.116788321167885,2.6277372262773726,6.700729927007299,1.8394160583941606,3.5474452554744533,2.102189781021898,2.3649635036496353,1.051094890510949,3.153284671532847,4.335766423357664,3.0218978102189777,1.1824817518248176,0.26277372262773724,1.3138686131386863,2.102189781021898,13.664233576642337,3,Veteran pure guards
Jarrett Allen,C,24.0,CLE,68.0,68.0,32.6,0.644,0.1,0.653,0.645,0.733,6.515337423312884,10.159509202453988,0.0,0.11042944785276074,6.515337423312884,10.049079754601227,2.6503067484662575,3.6441717791411037,3.6441717791411037,7.177914110429447,10.822085889570552,1.8773006134969323,0.8834355828220859,1.3251533742331287,1.54601226993865,2.539877300613497,15.791411042944786,1,Scoring mobile centers
